run_id,time,durumWheatConventional,durumWheatGreen
2390597056,48,233,466
592324107,35,243,456
1647985775,15,220,479
4207336717,26,229,470
1041520459,3,450,249
2433905624,18,223,476
4207336717,25,227,472
3406353272,36,218,481
3798497235,2,454,245
47450054,24,229,470
2812336726,24,210,489
2219985636,3,457,242
1879065471,37,216,483
2121459365,8,231,468
2088317157,44,229,470
1902205865,40,233,466
2350897887,35,220,479
1250187854,3,460,239
3465330676,32,222,477
4267890391,3,455,244
2148622446,15,229,470
1937319041,1,450,249
1281254876,40,250,449
2969498230,13,239,460
3410533839,21,221,478
3008811035,33,215,484
1337306660,38,210,489
2350897887,2,454,245
2647173381,21,228,471
726864470,6,214,485
4116213835,46,231,468
1647985775,19,243,456
496349895,43,228,471
2173063881,5,233,466
496349895,18,243,456
2350897887,3,443,256
2801228230,0,468,231
2812336726,5,270,429
2148622446,44,229,470
2221769679,5,254,445
1805821066,0,450,249
1240041043,34,226,473
3800403677,12,222,477
320580869,4,439,260
726864470,20,237,462
592324107,47,211,488
851146869,6,248,451
2859181308,17,225,474
1755647633,1,454,245
2859181308,32,237,462
1136919814,42,227,472
323091197,10,221,478
2666071234,2,434,265
592324107,46,220,479
1379064823,4,419,280
3465330676,30,213,486
726864470,13,206,493
2969498230,15,237,462
3924877335,32,240,459
3133452938,21,209,490
2429117700,15,234,465
47450054,11,238,461
2801228230,13,240,459
476317943,47,241,458
1509337232,17,241,458
541310921,29,240,459
496349895,38,230,469
2557967164,30,240,459
3406353272,39,228,471
2332992693,17,216,483
2221769679,43,227,472
1535083644,11,227,472
1250187854,19,215,484
3406353272,46,258,441
4083042477,29,219,480
4267890391,35,225,474
1702317242,38,229,470
3366122944,14,197,502
851146869,40,225,474
2743005121,1,473,226
2219985636,20,230,469
2859181308,14,226,473
2541698712,40,234,465
2429117700,5,263,436
2088317157,30,222,477
181622617,26,229,470
1937319041,24,237,462
512164377,29,226,473
1240041043,29,225,474
2017528644,24,229,470
1902358880,27,221,478
214192458,0,429,270
2017528644,34,210,489
2017528644,26,207,492
1202484295,16,241,458
2541698712,19,230,469
2743005121,11,224,475
2121459365,19,232,467
1041520459,3,450,249
3101517888,15,214,485
466317251,46,209,490
3083513699,5,262,437
1702317242,48,224,475
4116213835,38,225,474
4203269209,0,452,247
1009150936,46,228,471
868092388,35,228,471
2860951791,36,231,468
592324107,14,225,474
496349895,45,241,458
924572065,0,473,226
3366122944,15,229,470
466317251,13,221,478
2757603824,42,252,447
1250187854,17,221,478
2666071234,28,236,463
868092388,30,233,466
851146869,9,233,466
2433905624,5,261,438
676204689,2,445,254
621375267,6,278,421
1549085988,24,224,475
415357195,20,234,465
1898166948,8,225,474
3800403677,35,222,477
3008811035,7,242,457
3686836348,44,208,491
1041520459,11,231,468
883932702,3,434,265
3171985119,12,242,457
2860951791,30,228,471
1337306660,27,241,458
2541698712,46,225,474
3012298850,47,216,483
3406353272,13,233,466
3366122944,40,234,465
2801228230,3,448,251
621375267,36,212,487
1898166948,21,221,478
3171985119,10,250,449
2969498230,19,225,474
476317943,24,219,480
2666071234,0,465,234
541310921,42,237,462
1202484295,15,206,493
3133452938,37,221,478
620422935,25,212,487
47450054,39,237,462
1870345905,7,238,461
